시도교육청,교육지원청,지역,정보공시 학교코드,학교명,학교급코드,설립구분,1학년,2학년,3학년,특수학급,순회학급,학급수(계),학생수(계),학급당학생수,학교급,mid,high,위도,경도
경기도교육청,경기도가평교육지원청,경기도 가평군,S090000876,가평중학교,3,공립,7,7,6,2,0,22,528,24,mid,1,0,37.8,127.5
경기도교육청,경기도가평교육지원청,경기도 가평군,S090000877,가평북중학교,3,공립,1,1,1,1,0,4,32,8,mid,1,0,37.879224,127.548063
경기도교육청,경기도가평교육지원청,경기도 가평군,S090000878,설악중학교,3,공립,2,2,3,1,0,8,167,20.9,mid,1,0,37.68177,127.493241
경기도교육청,경기도가평교육지원청,경기도 가평군,S090000879,조종중학교,3,공립,3,3,3,1,0,10,212,21.2,mid,1,0,37.814492,127.346074
경기도교육청,경기도가평교육지원청,경기도 가평군,S090000880,청평중학교,3,공립,3,3,3,1,0,10,197,19.7,mid,1,0,37.743461,127.4222259
경기도교육청,경기도고양교육지원청,경기도 고양시 덕양구,S090000944,가람중학교,3,공립,5,5,5,1,0,16,399,24.9,mid,1,0,37.623392,126.841112
경기도교육청,경기도고양교육지원청,경기도 고양시 덕양구,S090000946,고양중학교,3,공립,10,10,10,2,0,32,830,25.9,mid,1,0,37.6496681,126.8845811
경기도교육청,경기도고양교육지원청,경기도 고양시 덕양구,S090000947,능곡중학교,3,공립,6,6,5,2,0,19,412,21.7,mid,1,0,37.622823,126.826338
경기도교육청,경기도고양교육지원청,경기도 고양시 일산서구,S090000948,대화중학교,3,공립,7,6,5,0,0,18,454,25.2,mid,1,0,37.67376,126.74456
경기도교육청,경기도고양교육지원청,경기도 고양시 덕양구,S090000949,덕양중학교,3,공립,3,3,3,1,0,10,189,18.9,mid,1,0,37.6045616,126.8717212
경기도교육청,경기도고양교육지원청,경기도 고양시 덕양구,S090000950,무원중학교,3,공립,6,6,6,1,1,20,460,23,mid,1,0,37.6176604,126.8305585
경기도교육청,경기도고양교육지원청,경기도 고양시 일산서구,S090000951,발산중학교,3,공립,9,10,10,1,0,30,803,26.8,mid,1,0,37.66968,126.77003
경기도교육청,경기도고양교육지원청,경기도 고양시 일산동구,S090000952,백마중학교,3,공립,7,8,7,1,0,23,582,25.3,mid,1,0,37.655104,126.79334
경기도교육청,경기도고양교육지원청,경기도 고양시 일산동구,S090000953,백석중학교,3,공립,5,5,5,1,0,16,400,25,mid,1,0,37.6420237,126.78285
경기도교육청,경기도고양교육지원청,경기도 고양시 일산동구,S090000954,백신중학교,3,공립,10,10,10,1,0,31,835,26.9,mid,1,0,37.6513229,126.7832256
경기도교육청,경기도고양교육지원청,경기도 고양시 덕양구,S090000955,백양중학교,3,공립,5,4,4,1,0,14,337,24.1,mid,1,0,37.6313201,126.8360157
경기도교육청,경기도고양교육지원청,경기도 고양시 덕양구,S090000956,고양제일중학교,3,사립,10,11,11,0,0,32,822,25.7,mid,1,0,37.690782,126.860154
경기도교육청,경기도고양교육지원청,경기도 고양시 덕양구,S090000957,신능중학교,3,공립,4,4,4,2,0,14,288,20.6,mid,1,0,37.6197069,126.8355248
경기도교육청,경기도고양교육지원청,경기도 고양시 일산서구,S090000958,신일중학교,3,공립,10,10,11,1,0,32,866,27.1,mid,1,0,37.676633,126.774591
경기도교육청,경기도고양교육지원청,경기도 고양시 일산서구,S090000959,오마중학교,3,공립,11,11,11,0,0,33,920,27.9,mid,1,0,37.677653,126.7615644
경기도교육청,경기도고양교육지원청,경기도 고양시 덕양구,S090000960,원당중학교,3,공립,3,3,3,1,0,10,175,17.5,mid,1,0,37.6646307,126.8230463
경기도교육청,경기도고양교육지원청,경기도 고양시 일산서구,S090000961,일산동중학교,3,공립,8,7,7,2,0,24,605,25.2,mid,1,0,37.6,126.7
경기도교육청,경기도고양교육지원청,경기도 고양시 일산서구,S090000962,일산중학교,3,공립,6,6,5,1,0,18,418,23.2,mid,1,0,37.6,126.7
경기도교육청,경기도고양교육지원청,경기도 고양시 일산서구,S090000963,장성중학교,3,공립,5,5,5,2,0,17,395,23.2,mid,1,0,37.681562,126.751346
경기도교육청,경기도고양교육지원청,경기도 고양시 일산동구,S090000964,저동중학교,3,공립,6,6,6,1,0,19,459,24.2,mid,1,0,37.6707467,126.7780073
경기도교육청,경기도고양교육지원청,경기도 고양시 일산동구,S090000965,정발중학교,3,공립,11,11,11,0,0,33,914,27.7,mid,1,0,37.6594829,126.7807911
경기도교육청,경기도고양교육지원청,경기도 고양시 일산동구,S090000966,중산중학교,3,공립,6,6,6,1,0,19,455,23.9,mid,1,0,37.6914017,126.7835409
경기도교육청,경기도고양교육지원청,경기도 고양시 덕양구,S090000967,지도중학교,3,공립,6,6,6,1,0,19,464,24.4,mid,1,0,37.626847,126.833698
경기도교육청,경기도고양교육지원청,경기도 고양시 일산서구,S090000969,한수중학교,3,공립,10,10,10,2,0,32,834,26.1,mid,1,0,37.6698707,126.7562527
경기도교육청,경기도고양교육지원청,경기도 고양시 덕양구,S090000970,행신중학교,3,공립,6,6,6,1,0,19,421,22.2,mid,1,0,37.615052,126.839548
경기도교육청,경기도고양교육지원청,경기도 고양시 일산서구,S090000971,호곡중학교,3,공립,9,10,9,2,0,30,757,25.2,mid,1,0,37.701646,126.768253
경기도교육청,경기도고양교육지원청,경기도 고양시 덕양구,S090000972,화수중학교,3,공립,9,9,9,4,0,31,747,24.1,mid,1,0,37.645198,126.834894
경기도교육청,경기도고양교육지원청,경기도 고양시 덕양구,S090000973,화정중학교,3,공립,8,8,8,0,0,24,659,27.5,mid,1,0,37.634876,126.826429
경기도교육청,경기도광명교육지원청,경기도 광명시,S090001188,가림중학교,3,공립,6,6,6,2,0,20,463,23.2,mid,1,0,37.4576566,126.8797341
경기도교육청,경기도광명교육지원청,경기도 광명시,S090001189,광남중학교,3,공립,8,9,10,2,0,29,766,26.4,mid,1,0,37.4708126,126.8481743
경기도교육청,경기도광명교육지원청,경기도 광명시,S090001190,광명북중학교,3,공립,6,5,6,1,1,19,446,23.5,mid,1,0,37.48755643,126.8658754
경기도교육청,경기도광명교육지원청,경기도 광명시,S090001191,하안북중학교,3,공립,11,11,10,1,0,33,949,28.8,mid,1,0,37.464988,126.868122
경기도교육청,경기도광명교육지원청,경기도 광명시,S090001192,광명중학교,3,공립,7,8,5,2,0,22,572,26,mid,1,0,37.47788541,126.8670232
경기도교육청,경기도광명교육지원청,경기도 광명시,S090001194,소하중학교,3,공립,13,13,12,1,0,39,1091,28,mid,1,0,37.448308,126.8874461
